key,mode,time_signature,track_genre
C-sharp_D-flat,minor,4/4,acoustic
C-sharp_D-flat,major,4/4,acoustic
C,major,4/4,acoustic
C,major,3/4,acoustic
D,major,4/4,acoustic
F-sharp_G-flat,major,4/4,acoustic
D,major,3/4,acoustic
B,major,4/4,acoustic
C,major,4/4,acoustic
C-sharp_D-flat,major,4/4,acoustic
G-sharp_A-flat,major,4/4,acoustic
E,major,3/4,acoustic
G,minor,4/4,acoustic
D-sharp_E-flat,major,4/4,acoustic
D,major,4/4,acoustic
E,major,3/4,acoustic
D,major,4/4,acoustic
A-sharp_B-flat,minor,4/4,acoustic
C,major,4/4,acoustic
D-sharp_E-flat,major,4/4,acoustic
B,major,4/4,acoustic
C,major,4/4,acoustic
D,major,3/4,acoustic
D-sharp_E-flat,major,4/4,acoustic
F,minor,4/4,acoustic
A,minor,4/4,acoustic
F,major,4/4,acoustic
E,minor,4/4,acoustic
F,major,4/4,acoustic
F,major,4/4,acoustic
F,major,4/4,acoustic
F,major,4/4,acoustic
F-sharp_G-flat,major,4/4,acoustic
C,major,4/4,acoustic
C,major,4/4,acoustic
C,major,4/4,acoustic
F-sharp_G-flat,minor,4/4,acoustic
D,major,4/4,acoustic
A-sharp_B-flat,major,4/4,acoustic
F-sharp_G-flat,minor,4/4,acoustic
G,major,4/4,acoustic
A-sharp_B-flat,minor,4/4,acoustic
C-sharp_D-flat,major,4/4,acoustic
C-sharp_D-flat,major,4/4,acoustic
F-sharp_G-flat,major,4/4,acoustic
C-sharp_D-flat,major,4/4,acoustic
C-sharp_D-flat,major,4/4,acoustic
C-sharp_D-flat,major,4/4,acoustic
C-sharp_D-flat,major,4/4,acoustic
C-sharp_D-flat,major,4/4,acoustic
C,minor,4/4,acoustic
C,major,4/4,acoustic
F-sharp_G-flat,minor,4/4,acoustic
F,major,3/4,acoustic
F-sharp_G-flat,minor,4/4,acoustic
C-sharp_D-flat,major,4/4,acoustic
E,major,4/4,acoustic
C,major,4/4,acoustic
C,major,4/4,acoustic
C,major,4/4,acoustic
D-sharp_E-flat,major,3/4,acoustic
F-sharp_G-flat,minor,4/4,acoustic
C-sharp_D-flat,major,4/4,acoustic
D,major,4/4,acoustic
E,major,4/4,acoustic
C-sharp_D-flat,major,4/4,acoustic
C,major,4/4,acoustic
